Durchgang;Bubblesort Zeit;Insertionsort Zeit;Mergesort Zeit;Quicksort Zeit;Selectionsort Zeit;Simplesort Zeit;
305;0,106914;0,034334;0,025298;0,016564;0,055114;0,138838;
306;0,110829;0,034032;0,022287;0,016263;0,054812;0,135526;
307;0,103602;0,036441;0,021383;0,015962;0,053909;0,135525;
308;0,103903;0,033731;0,021383;0,015962;0,054511;0,126491;
309;0,105408;0,034936;0,021985;0,015962;0,05421;0,130707;
310;0,112938;0,035839;0,021684;0,015962;0,05662;0,139742;
311;0,1548;0,046079;0,031321;0,025599;0,056921;0,128297;
312;0,116251;0,03885;0,02319;0,019576;0,057824;0,133418;
313;0,128599;0,03614;0,021684;0,016263;0,055114;0,141849;
314;0,110528;0,035237;0,021684;0,015661;0,057824;0,138537;
315;0,139441;0,035538;0,021985;0,016564;0,057222;0,137935;
316;0,120768;0,036742;0,022889;0,016564;0,058728;0,15209;
317;0,110528;0,036743;0,021985;0,016865;0,057523;0,150283;
318;0,115046;0,036441;0,022587;0,017167;0,059932;0,139441;
319;0,117757;0,037947;0,023792;0,016866;0,060835;0,142152;
320;0,120467;0,037345;0,021383;0,016865;0,058427;0,13944;
321;0,271954;0,087941;0,052102;0,040056;0,138838;0,325863;
322;0,273159;0,08523;0,051199;0,042465;0,141548;0,333994;
323;0,270449;0,092157;0,052704;0,039453;0,14426;0,341524;
324;0,277375;0,089146;0,053307;0,03885;0,140946;0,341524;
325;0,274364;0,086736;0,053306;0,039453;0,144862;0,349053;
326;0,276773;0,095169;0,053608;0,040657;0,145464;0,369231;
327;0,282495;0,096976;0,054511;0,040658;0,143657;0,37134;
328;0,285506;0,089145;0,053307;0,038851;0,14697;0,344234;
329;0,284904;0,090953;0,054512;0,039754;0,146367;0,365016;
330;0,286109;0,091254;0,055114;0,039453;0,146066;0,357787;
331;0,285507;0,097578;0,054813;0,040357;0,145463;0,365919;
332;0,290326;0,090952;0,055114;0,040055;0,15721;0,373749;
333;0,289422;0,093362;0,05421;0,039754;0,147874;0,365316;
334;0,284001;0,09818;0,055716;0,04126;0,150584;0,360498;
335;0,295144;0,093663;0,055113;0,040658;0,15209;0,387904;
336;0,290928;0,099987;0,056018;0,044873;0,150885;0,367124;
337;0,291831;0,093664;0,05692;0,042766;0,150584;0,372545;
338;0,299963;0,103602;0,056017;0,040959;0,151788;0,38941;
339;0,302674;0,105107;0,057523;0,040959;0,15721;0,390915;
340;0,145765;0,050597;0,027707;0,020178;0,074991;0,189133;
341;0,146066;0,048187;0,027708;0,020178;0,075593;0,19094;
342;0,147572;0,049693;0,026804;0,020178;0,075593;0,178593;
343;0,304481;0,103601;0,056921;0,042465;0,157812;0,381278;
344;0,303878;0,106011;0,057824;0,042766;0,161125;0,37405;
345;0,308697;0,101493;0,058427;0,043067;0,157209;0,37917;
346;0,308095;0,106613;0,057222;0,041862;0,159318;0,408684;
347;0,310805;0,101193;0,058125;0,042164;0,159619;0,402058;
348;0,314118;0,098482;0,059029;0,042766;0,161727;0,386699;
349;0,313516;0,106011;0,058426;0,04126;0,160522;0,415912;
350;0,314721;0,106011;0,058125;0,042766;0,164438;0,398746;
351;0,321647;0,097277;0,058728;0,044272;0,165341;0,419827;
352;0,323454;0,104806;0,058728;0,043368;0,16775;0,391819;
353;0,323153;0,106312;0,058426;0,04367;0,168352;0,41772;
354;0,323153;0,106011;0,059631;0,044573;0,164739;0,395132;
355;0,323755;0,104807;0,05933;0,043067;0,171666;0,415009;
356;0,328876;0,104806;0,060233;0,043067;0,165944;0,403866;
357;0,333995;0,113239;0,059331;0,04397;0,168052;0,432175;
358;0,329477;0,10571;0,05933;0,044272;0,16775;0,410492;
359;0,33008;0,111733;0,060534;0,04397;0,168955;0,415913;
360;0,333995;0,10571;0,062944;0,045476;0,172268;0,414407;
361;0,337609;0,107517;0,060233;0,043971;0,17287;0,418021;
362;0,338211;0,115649;0,060534;0,044572;0,17287;0,427056;
363;0,340921;0,109324;0,060535;0,045175;0,171967;0,44362;
364;0,342729;0,112937;0,060835;0,043669;0,176785;0,472231;
365;0,212624;0,069269;0,039152;0,028309;0,109927;0,272556;
366;0,346343;0,112938;0,060534;0,044573;0,177388;0,458076;
367;0,350559;0,118961;0,060836;0,046079;0,17799;0,434585;
368;0,348451;0,117455;0,061438;0,044874;0,180399;0,492108;
369;0,351162;0,115648;0,060836;0,047284;0,178592;0,444825;
370;0,353872;0,114745;0,061739;0,048789;0,179195;0,433079;
371;0,149078;0,048789;0,026804;0,019275;0,075894;0,193651;
372;0,354776;0,11595;0,06204;0,044572;0,181906;0,450547;
373;0,359594;0,111733;0,060234;0,045476;0,186423;0,453558;
374;0,371942;0,125587;0,061739;0,046681;0,181906;0,468315;
375;0,362304;0,126491;0,06204;0,048187;0,184616;0,480061;
376;0,364112;0,119563;0,062944;0,044874;0,184014;0,507166;
377;0,367425;0,112636;0,063848;0,045778;0,187627;0,461389;
378;0,36622;0,129502;0,062342;0,045778;0,185519;0,496324;
379;0,369834;0,120166;0,062342;0,048187;0,189434;0,448439;
380;0,373448;0,112336;0,062341;0,046079;0,187929;0,478555;
381;0,390615;0,125888;0,061739;0,047283;0,189133;0,49783;
382;0,374653;0,134923;0,06204;0,055113;0,194253;0,509275;
383;0,376459;0,116251;0,063245;0,046982;0,189134;0,499938;
384;0,377062;0,122877;0,062944;0,047885;0,191543;0,486386;
385;0,38188;0,130406;0,063245;0,046982;0,194253;0,492409;
386;0,382483;0,132213;0,063847;0,047284;0,191844;0,515599;
387;0,382182;0,123177;0,063848;0,04909;0,19365;0,51319;
388;0,382784;0,117455;0,062944;0,049391;0,196964;0,479158;
389;0,381881;0,130405;0,063245;0,050898;0,198168;0,512587;
390;0,387;0,125587;0,065354;0,048789;0,197867;0,498131;
391;0,389711;0,129201;0,064751;0,04909;0,199674;0,513491;
392;0,38941;0,126791;0,065353;0,049994;0,197566;0,51078;
393;0,397541;0,129502;0,066558;0,046982;0,199373;0,533669;
394;0,203589;0,071377;0,035236;0,024997;0,102096;0,265931;
395;0,395735;0,143054;0,068365;0,049392;0,199674;0,525236;
396;0,398746;0,130707;0,068967;0,047283;0,205999;0,524332;
397;0,395433;0,133116;0,065654;0,048789;0,204794;0,494818;
398;0,404167;0,133417;0,06686;0,048186;0,202385;0,538789;
399;0,407178;0,131008;0,06686;0,048488;0,207806;0,534572;
400;0,405372;0,133417;0,071377;0,048789;0,206601;0,546017;
401;0,407179;0,139742;0,073184;0,051801;0,212925;0,517707;
402;0,411696;0,135827;0,067461;0,050295;0,207203;0,538488;
403;0,408985;0,133417;0,066859;0,04909;0,207806;0,53397;
404;0,40989;0,125587;0,068365;0,049994;0,211118;0,496625;
405;0,420129;0,137032;0,068365;0,049693;0,209913;0,65534;
406;0,424044;0,13914;0,06716;0,04909;0,211721;0,573424;
407;0,422237;0,14185;0,068666;0,049091;0,215636;0,561979;
408;0,425851;0,145163;0,068064;0,0518;0,216239;0,568604;
409;0,42314;0,139139;0,068968;0,051499;0,214131;0,566496;
